Club,Name,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Pac,Nat,Sta,Str,Photo,ClubBadge
Arsenal,Cedric,12,12,12,7,13,12,8,9,12,12,11,14,13,14,13,14,13,13,13,14,12,10,12,14,14,12,14,13,14,15,8,13,14,13,9,photos\Cedric.png,photos\Arsenal.png
Arsenal,Mohamed Elneny,8,7,11,8,14,8,12,14,8,13,12,15,14,12,14,15,14,14,14,14,8,11,11,13,18,12,16,12,12,15,13,12,18,16,15,photos/placeholder.png,photos\Arsenal.png
Arsenal,Gabriel,4,7,10,6,12,4,17,6,7,13,7,16,13,16,14,16,12,13,14,13,8,11,9,15,16,13,14,13,13,14,17,15,13,16,17,photos/placeholder.png,photos\Arsenal.png
Arsenal,Gabriel Jesus,8,12,16,14,15,11,15,12,4,14,13,8,16,14,16,14,14,14,15,15,16,12,16,10,18,14,18,15,16,15,10,15,15,15,14,photos/placeholder.png,photos\Arsenal.png
Arsenal,Kai Havertz,10,10,14,11,17,11,14,11,8,16,13,10,17,11,15,11,11,10,14,10,15,7,15,11,15,15,13,14,13,13,14,14,16,15,13,photos/placeholder.png,photos\Arsenal.png
Arsenal,Jorginho,11,12,12,8,17,11,7,9,2,16,15,14,16,10,17,14,16,14,16,15,13,14,15,14,17,16,15,11,14,14,9,12,12,14,9,photos/placeholder.png,photos\Arsenal.png
Arsenal,Jakub Kiwior,7,11,12,7,12,12,14,8,7,13,8,13,13,13,15,13,13,13,13,14,9,11,7,14,15,12,13,16,14,12,16,14,15,13,13,photos/placeholder.png,photos\Arsenal.png
Arsenal,Gabriel Martinelli,14,12,15,14,15,10,13,8,3,12,11,5,16,14,13,14,13,12,13,17,15,6,16,7,16,13,17,17,16,14,11,16,13,16,11,photos/placeholder.png,photos\Arsenal.png
Arsenal,Reiss Nelson,12,12,15,11,14,12,6,13,8,13,10,6,15,12,12,13,13,11,12,12,16,5,14,5,13,13,14,17,16,14,7,16,14,12,10,photos/placeholder.png,photos\Arsenal.png
Arsenal,Eddie Nketiah,6,7,15,14,14,5,13,9,1,12,10,5,15,13,14,11,14,11,12,14,15,4,16,5,15,11,14,17,18,15,9,16,14,14,12,photos/placeholder.png,photos\Arsenal.png
Arsenal,Martin edegaard,16,15,16,13,18,14,8,17,4,17,14,9,18,8,18,10,16,15,17,16,16,14,17,9,18,19,15,13,16,15,9,13,13,15,11,photos/placeholder.png,photos\Arsenal.png
Arsenal,Thomas Partey,8,11,14,10,15,9,13,14,10,15,8,14,16,13,16,14,16,14,15,14,13,12,15,15,16,14,15,13,13,14,14,13,11,14,14,photos/placeholder.png,photos\Arsenal.png
