Club,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Alavés,-0.6649961063732497,0.10186074114790455,-0.3793387825277279,-0.20555119364165741,0.5721576129714523,-0.43776808352047397,0.4005599057102482,-0.43215787142536494,-0.04073235358386062,0.01215900853732335,-0.08619316411584499,-0.06864260030289034,-0.3481598934603376
Angers,-0.6868347795578484,-2.751345557687061,-0.4922960677642476,-0.7778570672413281,0.327376757092172,-0.3114810844485232,0.06455735938130709,0.17041319883406628,0.023819620833733405,0.3808488894108347,0.012039264188097027,-0.16502955323050367,-0.07212000760935207
Arsenal,0.9554829623797279,3.304653312074534,0.28597354951684634,0.22850399273701089,-1.2312689405575101,-0.22875198250323248,-0.08802702782425129,0.22179694345556328,0.030954420992922182,-0.4064160109822558,0.1750315015001662,-0.1638082531921064,-0.24348893174272615
Aston Villa,1.1867584751139606,1.6106962195188388,-0.14897680932696483,0.21163585178064462,-0.8737651077408598,0.0848700471226871,-0.18153069883755213,0.37947148989841534,-0.14305148765578926,0.18148925676502486,-0.02159497651037584,-0.16130599216882852,0.17937263359676772
Atalanta,-0.034036776337564,0.9536543835661533,0.748247040724428,0.5941272612151139,-0.5013798186426625,0.04162334652689043,-0.13055860989788062,0.17868020053095598,0.2234504954694219,-0.22602986237793898,0.16945711460160065,0.06375013507412298,-0.08964090330177253
Athletic,0.056289406818925254,-0.0388984355667102,-0.3796742962734768,-0.22741095919920146,-0.38653990485106265,0.2572735756308825,0.5534504999587627,0.2135336969358396,-0.0002605235907549524,0.01689721767701354,0.0702697894171014,-0.5737375802781763,0.01405512348964646
Atlético,1.092292784915692,2.285478872320747,-0.2712138554718789,-0.1544260328214453,0.12437647423971228,-0.12225685111204837,0.41683351794330903,0.024387280913675285,0.23856573834596984,-0.6471398822604117,0.04403427448931718,-0.12461971381511192,-0.20794091149029792
Augsburg,-0.8512700551725757,-0.28039110759741664,-0.06462111494184183,-0.017216485281803386,0.45258199945377603,0.01912965594527297,-0.41735656066998994,-0.13531754851359717,-0.06485996275359719,-0.10934559067467564,-0.16803579994337944,-0.020645295515546155,0.3144332441046867
Auxerre,-0.08215464220763691,-1.7434914656738252,-0.3601998987292563,0.5778263751765574,-0.1418888107239082,-0.30710670503828386,0.2288240191986595,-0.06261337309839299,-0.05847138777169534,0.04114727721526582,-0.1322917198368065,0.18907595404698135,-0.08371611142746864
Barcelona,1.8819366545242473,1.09927239468743,-0.17975800083592763,-0.31496173969552826,-1.0288610058286762,-0.8757148652275819,-0.05968825084134666,-0.08775646617599837,0.31990395744328787,0.007611939246472203,0.43729651919604307,0.05809981258791757,-0.5116129730059346
Bayer Leverkusen,1.0114434685796647,-0.32051604782405635,-0.15166157049393744,-0.5114875553493174,-0.46682544302026413,0.05803757252642048,-0.06066634345043254,-0.26613934207398865,0.2821592780077791,-0.17079294245453716,0.03230345107186125,-0.23820850506800512,-0.20969652345367232
Bologna,-0.526025443696804,0.1382574358260007,0.7893060168689335,0.11378492769007133,0.4921959960651267,0.37176205092727854,0.11788260121836001,-0.04933411597586033,-0.1888695893123696,0.0006755429057514062,0.009381724820899363,0.28810443913548195,-0.27247564873516084
