Home,xG,Score,xG.1,Away
Liverpool,2.2,4–2,1.7,Bournemouth
Aston Villa,0.2,0–0,1.4,Newcastle
Sunderland,0.7,3–0,0.6,West Ham
Brighton,1.5,1–1,0.7,Fulham
Tottenham,2.3,3–0,0.9,Burnley
Wolves,0.6,0–4,2.4,Man City
Chelsea,1.6,0–0,0.6,Crystal Palace
Nottm Forest,1.8,3–1,1.4,Brentford
Man Utd,1.5,0–1,1.3,Arsenal
Leeds,2,1–0,0.8,Everton
West Ham,0.7,1–5,2.7,Chelsea
Man City,1.6,0–2,1.1,Tottenham
Bournemouth,1.3,1–0,0.5,Wolves
Brentford,1.2,1–0,1.2,Aston Villa
Burnley,1,2–0,0.8,Sunderland
Arsenal,2.7,5–0,0.2,Leeds
Crystal Palace,1.1,1–1,0.9,Nottm Forest
Everton,1.6,2–0,2.4,Brighton
Fulham,1.7,1–1,1.6,Man Utd
Newcastle,1,2–3,0.7,Liverpool
Chelsea,2.1,2–0,0.9,Fulham
Wolves,1.1,2–3,1.9,Everton
Man Utd,3.6,3–2,1.2,Burnley
Sunderland,1.5,2–1,1.2,Brentford
Tottenham,0.2,0–1,1.5,Bournemouth
Leeds,0.7,0–0,0.5,Newcastle
Nottm Forest,0.7,0–3,2.4,West Ham
Brighton,2.2,2–1,1.8,Man City
Liverpool,0.5,1–0,0.5,Arsenal
Aston Villa,1.1,0–3,2.6,Crystal Palace
Arsenal,1.8,3–0,0.2,Nottm Forest
Newcastle,1.5,1–0,0.5,Wolves
Fulham,0.9,1–0,0.8,Leeds
Crystal Palace,1.8,0–0,0.4,Sunderland
Everton,2,0–0,0.4,Aston Villa
Bournemouth,1.4,2–1,0.6,Brighton
West Ham,0.6,0–3,1.3,Tottenham
Brentford,1.4,2–2,1.3,Chelsea
Burnley,0.1,0–1,2.6,Liverpool
Man City,2.7,3–0,1.2,Man Utd
Liverpool,0.9,2–1,0.7,Everton
Wolves,1.8,1–3,0.5,Leeds
Brighton,1.3,2–2,1.2,Tottenham
Burnley,0.9,1–1,1.1,Nottm Forest
West Ham,0.6,1–2,2.1,Crystal Palace
Man Utd,1.8,2–1,0.4,Chelsea
Fulham,1,3–1,0.6,Brentford
Bournemouth,0.5,0–0,0.2,Newcastle
Sunderland,1,1–1,0.8,Aston Villa
Arsenal,0.9,1–1,0.9,Man City
Brentford,1.9,3–1,2.1,Man Utd
