"Name";"Nation";"Division";"Rep";"Av Age";"Balance";"Trn Budget S";"Trn Budget R";"Wage Budget";"Status";"TF";"YF";"JC";"Stad Cap";"Av Att";"Rating";"Pot Rating";"Unique ID";"Division ID"
"Brentford";"England";"Premier League";"6.500";"24,7";"54.728.880";"23.300.000";"23.300.000";"1.003.820";"Professional";"11";"10";"7";"17.250";"16.912";"78,2%";"83,3%";"617";"11"
"Bournemouth";"England";"Premier League";"6.300";"24,9";"1.544.690";"0";"0";"1.293.540";"Professional";"13";"10";"11";"11.464";"11.189";"78,8%";"85,5%";"600";"11"
"Nottm Forest";"England";"Premier League";"6.350";"25,8";"3.710.750";"0";"0";"1.419.420";"Professional";"13";"13";"13";"30.576";"29.500";"79,0%";"83,6%";"692";"11"
"West Ham";"England";"Premier League";"6.950";"28,3";"88.944.600";"29.200.000";"29.200.000";"1.915.040";"Professional";"14";"15";"15";"62.500";"62.447";"81,0%";"83,2%";"735";"11"
"Crystal Palace";"England";"Premier League";"6.600";"25,8";"5.971.350";"600.000";"600.000";"1.284.920";"Professional";"15";"17";"15";"25.486";"25.051";"78,6%";"83,3%";"642";"11"
"Newcastle";"England";"Premier League";"7.900";"27,2";"58.299.390";"4.350.000";"4.350.000";"2.011.770";"Professional";"15";"13";"11";"52.404";"52.127";"82,0%";"85,0%";"688";"11"
"Burnley";"England";"Premier League";"6.300";"25,8";"3.010.440";"0";"0";"1.444.660";"Professional";"16";"15";"12";"22.546";"19.438";"78,1%";"81,6%";"622";"11"
"Fulham";"England";"Premier League";"6.550";"28,0";"79.149.390";"20.000.000";"20.000.000";"1.390.490";"Professional";"16";"13";"17";"25.700";"23.766";"78,9%";"81,7%";"654";"11"
"Man Utd";"England";"Premier League";"8.550";"26,5";"95.602.700";"1.000.000";"1.000.000";"3.159.540";"Professional";"17";"17";"17";"74.031";"73.150";"83,1%";"87,2%";"680";"11"
"Wolves";"England";"Premier League";"6.600";"25,6";"38.541.790";"4.300.000";"4.300.000";"1.006.270";"Professional";"17";"17";"14";"31.750";"30.765";"77,0%";"80,8%";"740";"11"
"Brighton";"England";"Premier League";"6.850";"25,5";"131.346.600";"69.500.000";"69.500.000";"1.361.430";"Professional";"18";"18";"14";"31.800";"30.943";"79,4%";"83,6%";"618";"11"
"Everton";"England";"Premier League";"6.550";"26,2";"102.017.780";"0";"0";"1.301.440";"Professional";"18";"18";"14";"39.572";"38.968";"78,4%";"83,0%";"650";"11"
"Leeds";"England";"Premier League";"6.250";"26,6";"30.737.290";"10.000.000";"10.000.000";"1.309.620";"Professional";"18";"17";"14";"37.890";"36.566";"78,4%";"82,8%";"671";"11"
"Sunderland";"England";"Premier League";"5.900";"25,1";"6.836.740";"7.000.000";"7.000.000";"996.780";"Professional";"18";"17";"14";"48.707";"38.915";"77,5%";"82,6%";"722";"11"
"Arsenal";"England";"Premier League";"8.450";"25,8";"199.152.400";"5.600.000";"5.600.000";"3.212.050";"Professional";"19";"16";"17";"60.704";"59.776";"85,2%";"88,8%";"602";"11"
"Aston Villa";"England";"Premier League";"7.000";"26,4";"5.230.200";"0";"0";"2.246.150";"Professional";"20";"18";"14";"42.777";"41.681";"81,0%";"84,4%";"603";"11"
"Chelsea";"England";"Premier League";"8.350";"23,6";"12.466.210";"0";"0";"3.170.140";"Professional";"20";"20";"19";"41.837";"37.812";"80,7%";"86,7%";"630";"11"
"Liverpool";"England";"Premier League";"8.700";"26,1";"225.447.140";"64.000.000";"64.000.000";"3.025.140";"Professional";"20";"20";"17";"50.109";"52.998";"84,6%";"88,0%";"676";"11"
"Man City";"England";"Premier League";"9.400";"25,5";"268.241.740";"30.600.000";"30.600.000";"3.731.260";"Professional";"20";"20";"19";"53.400";"53.249";"85,3%";"88,6%";"679";"11"
"Tottenham";"England";"Premier League";"7.800";"25,3";"318.749.130";"5.700.000";"5.700.000";"2.350.240";"Professional";"20";"20";"16";"62.850";"56.523";"82,3%";"86,1%";"728";"11"
