"Name";"Nation";"Division";"Rep";"Av Age";"Balance";"Trn Budget S";"Trn Budget R";"Wage Budget";"Status";"TF";"YF";"JC";"Stad Cap";"Av Att";"Rating";"Pot Rating";"Unique ID";"Division ID"
"Mallorca";"Spain";"LaLiga";"6.400";"26,7";"6.481.780";"857.460";"857.460";"320.130";"Professional";"12";"11";"14";"23.142";"14.000";"77,2%";"81,0%";"1.726";"67"
"Rayo Vallecano";"Spain";"LaLiga";"6.500";"28,1";"2.047.350";"857.460";"857.460";"361.720";"Professional";"12";"12";"14";"14.708";"12.525";"77,6%";"79,9%";"1.729";"67"
"Alavés";"Spain";"LaLiga";"6.600";"25,7";"8.357.630";"1.714.930";"1.714.930";"231.170";"Professional";"13";"14";"13";"19.840";"16.500";"76,4%";"79,7%";"1.688";"67"
"Getafe";"Spain";"LaLiga";"6.750";"26,7";"5.537.800";"857.460";"857.460";"241.000";"Professional";"13";"12";"12";"17.393";"10.500";"76,4%";"79,0%";"1.710";"67"
"Girona";"Spain";"LaLiga";"6.300";"26,1";"6.822.660";"4.287.320";"4.287.320";"444.400";"Professional";"13";"13";"16";"14.642";"12.800";"78,8%";"82,5%";"814.089";"67"
"Real Betis";"Spain";"LaLiga";"7.250";"25,5";"23.759.800";"2.572.390";"2.572.390";"609.800";"Professional";"14";"15";"14";"60.720";"49.635";"78,6%";"81,8%";"1.733";"67"
"Osasuna";"Spain";"LaLiga";"6.650";"26,2";"9.608.240";"0";"0";"246.710";"Professional";"15";"15";"14";"23.576";"17.000";"76,7%";"80,6%";"1.685";"67"
"Elche";"Spain";"LaLiga";"6.500";"25,6";"1.083.470";"8.957.810";"8.957.810";"115.110";"Professional";"15";"15";"14";"33.732";"16.000";"74,1%";"79,9%";"1.707";"67"
"Levante";"Spain";"LaLiga";"6.550";"24,9";"10.484.230";"2.572.390";"2.572.390";"135.320";"Professional";"15";"15";"12";"26.354";"15.000";"73,6%";"78,4%";"1.717";"67"
"Real Oviedo";"Spain";"LaLiga";"6.100";"26,7";"2.991.560";"4.245.400";"4.245.400";"148.290";"Professional";"15";"13";"14";"30.500";"11.000";"75,3%";"79,6%";"1.741";"67"
"Celta";"Spain";"LaLiga";"6.900";"25,9";"28.640.700";"17.149.290";"17.149.290";"438.140";"Professional";"16";"16";"14";"24.791";"14.000";"78,5%";"82,2%";"1.724";"67"
"Sevilla";"Spain";"LaLiga";"8.000";"27,5";"37.336.600";"4.287.320";"4.287.320";"513.820";"Professional";"16";"16";"16";"43.883";"30.000";"77,8%";"81,7%";"1.759";"67"
"Valencia";"Spain";"LaLiga";"7.600";"24,7";"32.662.910";"1.714.930";"1.714.930";"395.940";"Professional";"16";"16";"17";"49.430";"43.858";"77,4%";"81,6%";"1.775";"67"
"Atlético";"Spain";"LaLiga";"8.550";"26,1";"23.706.460";"4.287.320";"4.287.320";"2.089.530";"Professional";"17";"17";"16";"68.456";"47.000";"82,9%";"85,8%";"1.687";"67"
"Espanyol";"Spain";"LaLiga";"6.900";"24,6";"11.626.400";"4.287.320";"4.287.320";"157.520";"Professional";"17";"17";"17";"40.000";"18.000";"74,9%";"79,3%";"1.725";"67"
"Villarreal";"Spain";"LaLiga";"7.850";"24,8";"27.846.880";"12.861.970";"12.861.970";"467.790";"Professional";"17";"17";"17";"23.000";"17.000";"79,0%";"83,6%";"1.777";"67"
"Athletic";"Spain";"LaLiga";"7.500";"25,2";"27.583.400";"21.436.620";"21.436.620";"742.280";"Professional";"18";"18";"17";"53.332";"40.000";"79,0%";"82,8%";"1.664";"67"
"Real Madrid";"Spain";"LaLiga";"9.150";"25,2";"224.000.550";"21.436.620";"21.436.620";"4.930.730";"Professional";"18";"18";"18";"81.044";"68.000";"86,3%";"89,8%";"1.736";"67"
"Real Sociedad";"Spain";"LaLiga";"7.600";"24,9";"44.765.200";"1.286.200";"1.286.200";"540.550";"Professional";"18";"18";"15";"39.500";"27.000";"79,6%";"83,6%";"1.742";"67"
"Barcelona";"Spain";"LaLiga";"8.950";"23,5";"-31.388.010";"2.143.660";"2.143.660";"2.471.090";"Professional";"19";"19";"20";"56.000";"55.000";"84,2%";"88,9%";"1.708";"67"
