Name,UID,Club,Based,Nat,DoB,Height,Weight,Best Pos,Transfer Value,Wage,Preferred Foot,Right Foot,Left Foot,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat.1,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
Ander Guevara,67246381,Alavés,Spain (LaLiga),ESP,7/7/1995 (27 years old),180 cm,73 kg,"DM, M (C)",€11.5M - €14M,"€14,750 p/w",Right,Very Strong,Fairly Strong,9,8,12,10,12,8,11,14,7,14,14,8,13,14,15,14,15,13,14,12,14,8,10,9,13,16,14,16,12,14,13,10,14,11,16,13,3,2,4,2,3,1,1,4,2,2,1
Toni Martínez,67216151,Alavés,Spain (LaLiga),ESP,30/6/1995 (28 years old),187 cm,84 kg,ST (C),€8M - €10M,"€17,750 p/w",Right,Very Strong,Fairly Strong,7,9,11,15,13,9,16,12,8,6,11,10,7,12,16,14,16,13,11,12,16,13,10,15,7,13,12,14,13,13,15,14,16,14,14,13,2,3,3,4,3,3,2,3,3,3,3
Lucas Boyé,14110829,Alavés,Spain (LaLiga),ARG,28/2/1994 (29 years old),179 cm,81 kg,ST (C),€8M - €9.8M,"€14,750 p/w",Right,Very Strong,Reasonable,9,10,16,12,13,11,14,12,6,7,10,12,7,14,11,11,10,11,10,9,11,15,7,12,6,15,11,18,15,13,15,12,12,15,13,17,2,3,3,3,3,2,1,1,3,3,2
Carles Aleñá,67213011,Alavés,Spain (LaLiga),ESP,5/1/1996 (27 years old),180 cm,73 kg,"M (C), AM (RLC), ST (RL)",€6M - €7.6M,"€14,750 p/w",Left,Weak,Very Strong,14,13,15,12,17,13,6,12,8,5,17,14,7,17,12,14,12,14,12,14,13,18,11,14,9,13,16,12,12,12,12,10,14,13,12,11,1,2,1,1,2,2,1,4,2,2,3
Antonio Sivera,67186869,Alavés,Spain (LaLiga),ESP,11/8/1994 (28 years old),185 cm,75 kg,GK,€6M - €7.4M,"€14,750 p/w",Right Only,Very Strong,Weak,3,3,3,1,10,4,1,1,3,1,15,1,2,8,9,13,12,12,13,15,13,3,14,3,13,12,10,11,11,13,11,13,15,13,7,10,13,12,13,8,13,14,14,8,17,8,11
Pablo Ibañez,2000033089,Alavés,Spain (LaLiga),ESP,20/9/1996 (26 years old),179 cm,75 kg,"DM, M (C)",€4.3M - €8.4M,"€8,000 p/w",Right,Very Strong,Reasonable,8,12,11,12,12,7,13,12,6,12,13,10,13,12,14,15,15,11,14,12,5,11,12,14,14,15,12,15,12,12,12,13,14,11,14,12,1,2,1,2,3,1,1,1,1,3,3
Calebe,19363221,Alavés,Spain (LaLiga),BRA,30/4/1998 (25 years old),173 cm,67 kg,"M (C), AM (RLC), ST (RL)",€3.5M - €7M,,Left,Reasonable,Very Strong,12,10,14,11,12,12,11,10,3,9,14,7,11,14,15,13,7,12,11,12,13,15,8,13,9,13,14,12,13,13,13,6,13,12,12,8,1,2,3,2,3,2,4,1,1,3,2
Nikola Maraš,62127145,Alavés,Spain (LaLiga),SRB,19/12/1993 (29 years old),189 cm,81 kg,D (C),€2.4M - €4.9M,"€7,500 p/w",Right,Very Strong,Weak,7,7,8,8,11,8,13,7,7,13,12,10,14,11,12,12,14,11,14,13,13,10,16,8,14,13,11,14,11,12,12,14,14,11,13,15,1,1,3,3,1,2,2,3,2,3,2
Carlos Benavídez,78081773,Alavés,Spain (LaLiga),URU,30/3/1996 (27 years old),185 cm,76 kg,"DM, M (C)",€1.2M,"€3,800 p/w",Right,Very Strong,Reasonable,7,9,10,10,12,10,14,13,5,12,11,10,12,11,18,12,16,11,12,11,13,12,12,13,14,14,12,16,11,11,13,14,13,13,15,14,2,3,1,2,3,2,2,2,3,1,2
Moussa Diarra,49044569,Alavés,Spain (LaLiga),MLI,10/11/1998 (24 years old),183 cm,73 kg,"DM, M (C)",€1M - €2.2M,"€3,600 p/w",Left,Weak,Very Strong,6,11,12,7,12,3,13,6,12,13,13,6,14,13,15,14,13,12,12,11,13,8,12,13,12,13,12,13,12,13,12,13,13,12,14,12,3,1,1,2,1,3,2,3,3,3,3
Carlos Vicente,67258842,Alavés,Spain (LaLiga),ESP,23/4/1997 (26 years old),179 cm,74 kg,"M/AM (RL), ST (RL)",€550K - €5.6M,"€8,750 p/w",Right,Very Strong,Reasonable,11,13,12,11,11,8,10,10,8,6,10,9,10,12,13,13,13,11,11,12,14,14,14,15,9,12,12,14,15,14,12,11,15,15,13,11,4,3,3,3,3,2,2,1,4,3,1
Jon Guridi,67157535,Alavés,Spain (LaLiga),ESP,28/2/1993 (30 years old),179 cm,64 kg,"DM, M (C)",€425K - €4.3M,"€10,000 p/w",Left,Reasonable,Very Strong,7,12,10,10,14,8,10,12,7,12,13,10,13,14,14,13,15,12,12,12,15,9,11,13,14,15,12,16,12,13,10,9,14,13,14,14,1,2,1,3,3,1,3,1,1,1,2
Nahuel Tenaglia,14153906,Alavés,Spain (LaLiga),ARG,21/2/1994 (29 years old),182 cm,70 kg,D/WB (RL),€425K - €4.3M,"€7,500 p/w",Right,Very Strong,Weak,8,11,11,9,12,6,12,7,15,14,12,9,15,11,15,13,15,11,12,13,11,7,10,14,14,13,11,14,14,13,13,10,13,14,12,12,3,1,3,3,2,1,3,1,1,2,3
Jon Pacheco,67269422,Alavés,Spain (LaLiga),ESP,8/1/1999 (24 years old),184 cm,77 kg,D (C),€425K - €4.2M,,Left,Fairly Strong,Very Strong,8,9,11,8,12,9,15,10,11,13,12,10,13,13,14,13,13,12,13,11,17,12,11,8,13,15,14,14,11,12,12,13,15,12,11,13,1,2,2,4,2,2,3,3,1,3,1
Abde,2000053956,Alavés,Spain (LaLiga),ALG,11/8/1996 (26 years old),176 cm,70 kg,"AM (RL), ST (RL)",€400K - €4M,"€3,800 p/w",Right,Very Strong,Fairly Strong,10,11,12,12,11,8,7,10,11,6,10,8,7,11,13,14,14,11,13,11,15,13,12,14,8,14,11,14,13,13,10,6,12,14,12,9,1,1,1,3,1,2,4,2,3,3,2
Facundo Garcés,14187538,Alavés,Spain (LaLiga),ARG,5/9/1997 (25 years old),188 cm,82 kg,D (C),€375K - €3.7M,"€4,900 p/w",Right,Very Strong,Weak,7,6,7,5,8,6,16,6,6,14,7,8,13,7,13,13,14,12,15,13,13,5,13,8,14,14,8,13,12,12,13,12,13,12,12,16,1,2,2,2,4,3,2,2,2,1,3
Antonio Blanco,67256515,Alavés,Spain (LaLiga),ESP,23/7/1998 (24 years old),175 cm,63 kg,M (C),€350K - €3.4M,"€8,750 p/w",Right,Very Strong,Fairly Strong,9,10,9,8,13,8,13,10,11,12,13,6,13,12,10,14,12,12,13,12,17,9,15,14,14,15,11,14,13,12,11,9,15,12,14,13,2,2,4,1,4,3,2,3,2,3,2
Mariano,67157152,Alavés,Spain (LaLiga),DOM,1/8/1991 (31 years old),181 cm,77 kg,ST (C),€200K - €2M,"€4,200 p/w",Right,Very Strong,Reasonable,5,8,11,13,12,13,15,12,5,5,12,14,5,12,15,12,17,11,10,11,14,8,5,13,8,9,8,17,14,11,13,13,5,14,12,14,2,2,2,3,1,2,2,3,2,2,3
Victor Parada,16282754,Alavés,Spain (LaLiga),ESP,4/4/2000 (23 years old),184 cm,75 kg,D (C),€70K - €700K,€700 p/w,Left,Reasonable,Very Strong,2,5,1,1,9,1,14,3,5,14,8,1,12,7,7,10,10,9,12,14,19,5,4,8,12,8,4,9,14,14,9,8,12,14,9,8,2,3,3,2,2,2,3,4,3,2,2
Raúl Fernández,67018270,Alavés,Spain (LaLiga),ESP,13/3/1986 (37 years old),195 cm,92 kg,GK,€60K - €600K,"€6,000 p/w",Right,Very Strong,Weak,3,3,3,2,9,4,3,2,3,2,10,1,3,10,10,11,12,9,12,13,13,2,11,3,13,10,8,9,10,12,11,14,10,10,12,13,14,12,12,6,15,13,15,12,14,10,11
Alberto Moreno,2000060659,Alavés,Spain (LaLiga),ESP,19/4/1998 (25 years old),175 cm,69 kg,"DM, M (C)",€3K - €30K,"€1,100 p/w",Right Only,Very Strong,Weak,8,8,4,9,14,8,8,6,7,8,12,5,14,11,9,10,9,10,10,14,7,5,14,9,8,10,14,13,14,14,10,9,7,14,11,6,2,1,2,3,2,3,4,1,2,1,1
Jonny,67144651,Alavés,Spain (LaLiga),ESP,3/3/1992 (31 years old),175 cm,70 kg,D/WB (RL),Not for Sale,"€10,000 p/w",Right,Very Strong,Weak,6,13,12,10,10,7,11,9,13,14,13,8,14,12,14,14,16,13,16,14,14,8,12,11,14,15,9,16,11,14,12,10,15,11,13,12,2,1,2,2,3,3,1,1,1,1,3
Denis Suárez,67107819,Alavés,Spain (LaLiga),ESP,6/1/1992 (31 years old),178 cm,66 kg,"M (C), AM (RLC), ST (RL)",Not for Sale,"€28,500 p/w",Right,Very Strong,Fairly Strong,13,14,15,12,16,13,7,13,9,7,16,12,11,16,9,16,9,14,12,13,12,15,8,14,9,16,17,14,12,14,13,10,12,12,12,11,1,1,2,2,1,1,1,3,3,1,3
Himad Abdelli,48043489,Angers,France (Ligue 1),ALG,17/11/1997 (25 years old),185 cm,81 kg,"M (C), AM (RLC), ST (RL)",€2.2M - €4.7M,"€8,750 p/w",Right,Very Strong,Weak,11,10,13,9,14,10,12,10,6,11,14,8,11,14,14,11,13,13,12,12,11,14,10,12,12,14,14,14,12,12,14,12,13,12,13,14,3,3,4,1,2,4,3,1,1,1,4
Haris Belkebla,85099581,Angers,France (Ligue 1),ALG,28/1/1992 (31 years old),177 cm,68 kg,"DM, M (C)",€1.9M - €4M,"€10,500 p/w",Right Only,Very Strong,Weak,10,10,12,10,14,9,8,10,7,11,14,9,14,13,15,14,15,13,14,13,14,13,13,12,12,14,14,16,12,11,15,8,15,11,16,11,3,1,2,1,1,1,2,1,2,1,1
Ousmane Camara,2000066137,Angers,France (Ligue 1),FRA,6/3/2001 (22 years old),197 cm,90 kg,D (C),€1.6M - €3.5M,"€3,000 p/w",Right Only,Very Strong,Weak,7,8,11,5,10,5,15,5,7,13,13,6,13,11,9,11,12,11,11,12,11,10,7,10,11,12,11,12,11,8,12,18,14,11,12,14,2,2,2,1,1,3,2,3,2,3,2
