"Name";"Nation";"Division";"Rep";"Av Age";"Balance";"Trn Budget S";"Trn Budget R";"Wage Budget";"Status";"TF";"YF";"JC";"Stad Cap";"Av Att";"Rating";"Pot Rating";"Unique ID";"Division ID"
"Heidenheim";"Germany";"Bundesliga";"5.900";"0,0";"1.714.930";"0";"0";"0";"Professional";"11";"10";"8";"15.000";"13.000";"0,0%";"0,0%";"880.295";"22"
"St. Pauli";"Germany";"Bundesliga";"6.150";"24,2";"497.080";"0";"0";"0";"Professional";"12";"12";"9";"29.546";"29.363";"24,4%";"25,8%";"946";"22"
"Union Berlin";"Germany";"Bundesliga";"6.800";"26,3";"9.580.610";"0";"0";"0";"Professional";"13";"11";"8";"22.012";"22.012";"21,0%";"22,1%";"121.182";"22"
"Borussia M'gladbach";"Germany";"Bundesliga";"7.050";"24,8";"5.669.180";"0";"0";"0";"Professional";"15";"15";"12";"54.042";"52.110";"62,0%";"65,2%";"908";"22"
"Eintracht Frankfurt";"Germany";"Bundesliga";"7.350";"25,8";"27.885.030";"0";"0";"0";"Professional";"15";"15";"12";"58.000";"50.008";"75,5%";"80,2%";"912";"22"
"Köln";"Germany";"Bundesliga";"6.950";"23,5";"1.425.150";"0";"0";"0";"Professional";"15";"15";"12";"50.000";"48.970";"13,5%";"14,7%";"916";"22"
"Wolfsburg";"Germany";"Bundesliga";"7.050";"26,7";"13.228.100";"0";"0";"0";"Professional";"15";"16";"12";"28.917";"24.654";"76,0%";"79,3%";"961";"22"
"Augsburg";"Germany";"Bundesliga";"6.500";"22,0";"4.871.960";"0";"0";"0";"Professional";"15";"13";"12";"30.660";"26.347";"13,4%";"15,2%";"2.238";"22"
"Mainz";"Germany";"Bundesliga";"6.650";"20,0";"5.796.940";"0";"0";"0";"Professional";"16";"15";"14";"33.305";"28.614";"6,4%";"7,1%";"918";"22"
"Hamburg";"Germany";"Bundesliga";"6.800";"25,2";"1.437.090";"0";"0";"0";"Professional";"16";"14";"12";"57.000";"53.466";"34,9%";"37,7%";"947";"22"
"Stuttgart";"Germany";"Bundesliga";"7.050";"23,3";"5.669.180";"0";"0";"0";"Professional";"16";"15";"14";"60.449";"45.844";"61,3%";"67,1%";"960";"22"
"RB Leipzig";"Germany";"Bundesliga";"7.600";"25,3";"27.512.230";"0";"0";"0";"Professional";"16";"18";"14";"47.069";"46.128";"79,0%";"83,9%";"91.013.388";"22"
"Bayer Leverkusen";"Germany";"Bundesliga";"7.650";"25,3";"14.634.060";"0";"0";"0";"Professional";"17";"14";"14";"30.210";"28.931";"78,3%";"84,3%";"901";"22"
"Werder Bremen";"Germany";"Bundesliga";"6.900";"25,0";"1.905.480";"0";"0";"0";"Professional";"17";"14";"12";"42.100";"40.663";"41,3%";"43,6%";"948";"22"
"Freiburg";"Germany";"Bundesliga";"6.800";"27,2";"6.706.430";"0";"0";"0";"Professional";"18";"15";"14";"34.700";"33.776";"28,3%";"30,3%";"944";"22"
"Hoffenheim";"Germany";"Bundesliga";"6.800";"34,0";"9.580.610";"0";"0";"0";"Professional";"18";"18";"13";"30.150";"22.640";"7,4%";"7,4%";"879.226";"22"
"Borussia Dortmund";"Germany";"Bundesliga";"8.150";"26,0";"17.817.450";"0";"0";"0";"Professional";"19";"18";"16";"81.365";"80.426";"78,5%";"82,3%";"907";"22"
"FC Bayern";"Germany";"Bundesliga";"8.800";"27,1";"59.391.480";"0";"0";"0";"Professional";"19";"19";"16";"75.000";"75.024";"84,4%";"87,6%";"915";"22"
"Brentford";"England";"Premier League";"6.500";"24,7";"54.728.880";"23.300.000";"23.300.000";"1.003.820";"Professional";"11";"10";"7";"17.250";"16.912";"78,2%";"83,3%";"617";"11"
"Bournemouth";"England";"Premier League";"6.300";"24,9";"1.544.690";"0";"0";"1.293.540";"Professional";"13";"10";"11";"11.464";"11.189";"78,8%";"85,5%";"600";"11"
"Nottm Forest";"England";"Premier League";"6.350";"25,8";"3.710.750";"0";"0";"1.419.420";"Professional";"13";"13";"13";"30.576";"29.500";"79,0%";"83,6%";"692";"11"
"West Ham";"England";"Premier League";"6.950";"28,3";"88.944.600";"29.200.000";"29.200.000";"1.915.040";"Professional";"14";"15";"15";"62.500";"62.447";"81,0%";"83,2%";"735";"11"
"Crystal Palace";"England";"Premier League";"6.600";"25,8";"5.971.350";"600.000";"600.000";"1.284.920";"Professional";"15";"17";"15";"25.486";"25.051";"78,6%";"83,3%";"642";"11"
"Newcastle";"England";"Premier League";"7.900";"27,2";"58.299.390";"4.350.000";"4.350.000";"2.011.770";"Professional";"15";"13";"11";"52.404";"52.127";"82,0%";"85,0%";"688";"11"
"Burnley";"England";"Premier League";"6.300";"25,8";"3.010.440";"0";"0";"1.444.660";"Professional";"16";"15";"12";"22.546";"19.438";"78,1%";"81,6%";"622";"11"
"Fulham";"England";"Premier League";"6.550";"28,0";"79.149.390";"20.000.000";"20.000.000";"1.390.490";"Professional";"16";"13";"17";"25.700";"23.766";"78,9%";"81,7%";"654";"11"
"Man Utd";"England";"Premier League";"8.550";"26,5";"95.602.700";"1.000.000";"1.000.000";"3.159.540";"Professional";"17";"17";"17";"74.031";"73.150";"83,1%";"87,2%";"680";"11"
"Wolves";"England";"Premier League";"6.600";"25,6";"38.541.790";"4.300.000";"4.300.000";"1.006.270";"Professional";"17";"17";"14";"31.750";"30.765";"77,0%";"80,8%";"740";"11"
"Brighton";"England";"Premier League";"6.850";"25,5";"131.346.600";"69.500.000";"69.500.000";"1.361.430";"Professional";"18";"18";"14";"31.800";"30.943";"79,4%";"83,6%";"618";"11"
"Everton";"England";"Premier League";"6.550";"26,2";"102.017.780";"0";"0";"1.301.440";"Professional";"18";"18";"14";"39.572";"38.968";"78,4%";"83,0%";"650";"11"
"Leeds";"England";"Premier League";"6.250";"26,6";"30.737.290";"10.000.000";"10.000.000";"1.309.620";"Professional";"18";"17";"14";"37.890";"36.566";"78,4%";"82,8%";"671";"11"
"Sunderland";"England";"Premier League";"5.900";"25,1";"6.836.740";"7.000.000";"7.000.000";"996.780";"Professional";"18";"17";"14";"48.707";"38.915";"77,5%";"82,6%";"722";"11"
"Arsenal";"England";"Premier League";"8.450";"25,8";"199.152.400";"5.600.000";"5.600.000";"3.212.050";"Professional";"19";"16";"17";"60.704";"59.776";"85,2%";"88,8%";"602";"11"
"Aston Villa";"England";"Premier League";"7.000";"26,4";"5.230.200";"0";"0";"2.246.150";"Professional";"20";"18";"14";"42.777";"41.681";"81,0%";"84,4%";"603";"11"
"Chelsea";"England";"Premier League";"8.350";"23,6";"12.466.210";"0";"0";"3.170.140";"Professional";"20";"20";"19";"41.837";"37.812";"80,7%";"86,7%";"630";"11"
"Liverpool";"England";"Premier League";"8.700";"26,1";"225.447.140";"64.000.000";"64.000.000";"3.025.140";"Professional";"20";"20";"17";"50.109";"52.998";"84,6%";"88,0%";"676";"11"
"Man City";"England";"Premier League";"9.400";"25,5";"268.241.740";"30.600.000";"30.600.000";"3.731.260";"Professional";"20";"20";"19";"53.400";"53.249";"85,3%";"88,6%";"679";"11"
"Tottenham";"England";"Premier League";"7.800";"25,3";"318.749.130";"5.700.000";"5.700.000";"2.350.240";"Professional";"20";"20";"16";"62.850";"56.523";"82,3%";"86,1%";"728";"11"
"Mallorca";"Spain";"LaLiga";"6.400";"26,7";"6.481.780";"857.460";"857.460";"320.130";"Professional";"12";"11";"14";"23.142";"14.000";"77,2%";"81,0%";"1.726";"67"
"Rayo Vallecano";"Spain";"LaLiga";"6.500";"28,1";"2.047.350";"857.460";"857.460";"361.720";"Professional";"12";"12";"14";"14.708";"12.525";"77,6%";"79,9%";"1.729";"67"
"Alavés";"Spain";"LaLiga";"6.600";"25,7";"8.357.630";"1.714.930";"1.714.930";"231.170";"Professional";"13";"14";"13";"19.840";"16.500";"76,4%";"79,7%";"1.688";"67"
"Getafe";"Spain";"LaLiga";"6.750";"26,7";"5.537.800";"857.460";"857.460";"241.000";"Professional";"13";"12";"12";"17.393";"10.500";"76,4%";"79,0%";"1.710";"67"
"Girona";"Spain";"LaLiga";"6.300";"26,1";"6.822.660";"4.287.320";"4.287.320";"444.400";"Professional";"13";"13";"16";"14.642";"12.800";"78,8%";"82,5%";"814.089";"67"
"Real Betis";"Spain";"LaLiga";"7.250";"25,5";"23.759.800";"2.572.390";"2.572.390";"609.800";"Professional";"14";"15";"14";"60.720";"49.635";"78,6%";"81,8%";"1.733";"67"
"Osasuna";"Spain";"LaLiga";"6.650";"26,2";"9.608.240";"0";"0";"246.710";"Professional";"15";"15";"14";"23.576";"17.000";"76,7%";"80,6%";"1.685";"67"
"Elche";"Spain";"LaLiga";"6.500";"25,6";"1.083.470";"8.957.810";"8.957.810";"115.110";"Professional";"15";"15";"14";"33.732";"16.000";"74,1%";"79,9%";"1.707";"67"
