commence_time,home_team,away_team,win_odds,draw_odds,lose_odds
2025-11-24T20:00:00Z,Manchester United,Everton,1.84,3.99,4.2
2025-11-29T15:00:00Z,Sunderland,Bournemouth,3.09,3.43,2.39
2025-11-29T15:00:00Z,Brentford,Burnley,1.51,4.61,6.33
2025-11-29T15:00:00Z,Manchester City,Leeds United,1.27,6.35,9.8
2025-11-29T17:30:00Z,Everton,Newcastle United,2.9,3.36,2.56
2025-11-29T20:00:00Z,Tottenham Hotspur,Fulham,2.14,3.43,3.64
2025-11-30T12:00:00Z,Crystal Palace,Manchester United,2.46,3.67,2.82
2025-11-30T14:05:00Z,Aston Villa,Wolverhampton Wanderers,1.53,4.53,6.14
2025-11-30T14:05:00Z,Nottingham Forest,Brighton and Hove Albion,2.82,3.43,2.57
2025-11-30T14:05:00Z,West Ham United,Liverpool,4.94,4.36,1.65
2025-11-30T16:30:00Z,Chelsea,Arsenal,3.5,3.43,2.19
2025-12-02T19:30:00Z,Bournemouth,Everton,2.06,3.24,3.9
2025-12-02T19:30:00Z,Fulham,Manchester City,4.73,4.3,1.64
2025-12-02T20:15:00Z,Newcastle United,Tottenham Hotspur,1.72,4.03,4.43
2025-12-03T19:30:00Z,Arsenal,Brentford,1.3,5.63,8.86
2025-12-03T19:30:00Z,Brighton and Hove Albion,Aston Villa,2.25,3.45,3.17
2025-12-03T19:30:00Z,Burnley,Crystal Palace,4.61,3.96,1.71
2025-12-03T19:30:00Z,Wolverhampton Wanderers,Nottingham Forest,3.17,3.31,2.31
2025-12-03T20:15:00Z,Leeds United,Chelsea,4.06,3.98,1.79
2025-12-03T20:15:00Z,Liverpool,Sunderland,1.34,5.4,7.94
2025-12-04T20:00:00Z,Manchester United,West Ham United,1.41,5.15,6.49
